,cluster_id,size,avg_intra_cluster_pairwise_distance,avg_intra_cluster_variance,avg_silhouette_score,avg_inter_centroid_distance,model,task
1080,F.Asian.Structured.Direct,200,0.4326196202279813,0.3050198587930414,0.012756573083208118,0.3112511915769982,Llama-3.1-8B-Instruct,bio
1081,F.Asian.Structured.Interview,162,0.4666824500757007,0.32917411314365247,-0.048809244218216315,0.26358199821433625,Llama-3.1-8B-Instruct,bio
1082,F.Asian.Structured.Third Person,200,0.44986647045355566,0.31704365284370256,-0.023954211172932737,0.3016961384340199,Llama-3.1-8B-Instruct,bio
1083,F.Black.Explicit.Direct,200,0.4849258413012403,0.34287469245997115,-0.0562827487913097,0.28314580516949134,Llama-3.1-8B-Instruct,bio
1084,F.Black.Explicit.Interview,134,0.4551668717246355,0.32213113932924725,-0.01628705016460432,0.296042631668555,Llama-3.1-8B-Instruct,bio
1085,F.Black.Explicit.Third Person,200,0.4810611976327459,0.340340665490909,-0.0607503792241733,0.29059759102221205,Llama-3.1-8B-Instruct,bio
1086,F.Black.Name.Direct,200,0.4570274842829146,0.3227655544424668,-0.05558478943173319,0.26519118452098916,Llama-3.1-8B-Instruct,bio
1087,F.Black.Name.Interview,169,0.5260885837605908,0.3732341662103242,-0.06772302556155192,0.27497143017974673,Llama-3.1-8B-Instruct,bio
1088,F.Black.Name.Third Person,200,0.48017366514502496,0.33873657571333526,-0.08029339603605873,0.25903103960428064,Llama-3.1-8B-Instruct,bio
1089,F.Black.Structured.Direct,200,0.4529231509099484,0.3218595413832587,-0.027142154404550877,0.3151830398510976,Llama-3.1-8B-Instruct,bio
1090,F.Black.Structured.Interview,145,0.49970711010763647,0.35311084170181073,-0.09525759890129265,0.257245168458331,Llama-3.1-8B-Instruct,bio
1091,F.Black.Structured.Third Person,200,0.4343369103075836,0.30628083489329794,0.024988238998464026,0.3281164431074739,Llama-3.1-8B-Instruct,bio
1092,F.Hispanic.Explicit.Direct,200,0.4489389156452564,0.3174056322013549,-0.027206309905602955,0.33649941394581856,Llama-3.1-8B-Instruct,bio
1093,F.Hispanic.Explicit.Interview,165,0.4758279686741613,0.3406380721322669,-0.1007874067466096,0.2593534528702386,Llama-3.1-8B-Instruct,bio
1094,F.Hispanic.Explicit.Third Person,200,0.43963082342939785,0.3105770191249216,-0.030437116529703587,0.3271795515167547,Llama-3.1-8B-Instruct,bio
1095,F.Hispanic.Name.Direct,200,0.43499923570623494,0.3085990403653421,-0.0353906875693793,0.2962818705331707,Llama-3.1-8B-Instruct,bio
1096,F.Hispanic.Name.Interview,190,0.5302742276490928,0.37754761110096563,-0.07572728824051128,0.2804376574934129,Llama-3.1-8B-Instruct,bio
1097,F.Hispanic.Name.Third Person,200,0.43416491069918767,0.30745907749021073,-0.020280647586494817,0.29764788425647676,Llama-3.1-8B-Instruct,bio
1098,F.Hispanic.Structured.Direct,200,0.41545648853581923,0.29313433957202084,0.0028866662143215353,0.3208216353914006,Llama-3.1-8B-Instruct,bio
1099,F.Hispanic.Structured.Interview,164,0.4592814670704975,0.3257212838941706,-0.08017237847966353,0.2517999176820381,Llama-3.1-8B-Instruct,bio
